message,label
Please find the project update in the shared folder. Note 9 team,0
"Hi team, please review the meeting notes from yesterday. Note 3 team",0
Limited time offer: buy now and get 50 percent off. Offer code 3 spam,1
Limited time offer: buy now and get 50 percent off. Offer code 10 spam,1
Special promotion just for you. Free gift inside. Offer code 2 spam,1
Don't forget the team stand-up at 10 am. Note 1 team,0
Lunch at 1 pm works for me. See you then. Note 9 team,0
Please find the project update in the shared folder. Note 0 team,0
Can we reschedule our call to tomorrow afternoon? Note 2 team,0
Don't forget the team stand-up at 10 am. Note 9 team,0
Thanks for your help with the assignment. Note 11 team,0
"Hi team, please review the meeting notes from yesterday. Note 11 team",0
Urgent: Your account is blocked. Verify your details immediately. Offer code 6 spam,1
The report is attached. Let me know if you need changes. Note 1 team,0
Lunch at 1 pm works for me. See you then. Note 7 team,0
Claim your lottery prize now by clicking this link. Offer code 5 spam,1
Don't forget the team stand-up at 10 am. Note 5 team,0
You have been selected for a cash reward. Reply to receive it. Offer code 0 spam,1
I will send the invoice later today. Note 2 team,0
Win a free phone by entering the contest today. Offer code 6 spam,1
Thanks for your help with the assignment. Note 5 team,0
Congratulations! You have won a free prize. Click now to claim. Offer code 8 spam,1
Win a free phone by entering the contest today. Offer code 2 spam,1
Win a free phone by entering the contest today. Offer code 11 spam,1
Special promotion just for you. Free gift inside. Offer code 1 spam,1
Act fast to get the bonus money offer. Offer code 11 spam,1
Claim your lottery prize now by clicking this link. Offer code 7 spam,1
Don't forget the team stand-up at 10 am. Note 7 team,0
Lunch at 1 pm works for me. See you then. Note 0 team,0
Act fast to get the bonus money offer. Offer code 7 spam,1
"Hi team, please review the meeting notes from yesterday. Note 9 team",0
Special promotion just for you. Free gift inside. Offer code 0 spam,1
Lunch at 1 pm works for me. See you then. Note 1 team,0
"Hi team, please review the meeting notes from yesterday. Note 6 team",0
Win a free phone by entering the contest today. Offer code 0 spam,1
Congratulations! You have won a free prize. Click now to claim. Offer code 2 spam,1
Please find the project update in the shared folder. Note 7 team,0
The report is attached. Let me know if you need changes. Note 8 team,0
The report is attached. Let me know if you need changes. Note 7 team,0
Can we reschedule our call to tomorrow afternoon? Note 8 team,0
The report is attached. Let me know if you need changes. Note 0 team,0
I will send the invoice later today. Note 3 team,0
Congratulations! You have won a free prize. Click now to claim. Offer code 6 spam,1
Lunch at 1 pm works for me. See you then. Note 8 team,0
Congratulations! You have won a free prize. Click now to claim. Offer code 0 spam,1
Please find the project update in the shared folder. Note 10 team,0
You have been selected for a cash reward. Reply to receive it. Offer code 9 spam,1
Special promotion just for you. Free gift inside. Offer code 4 spam,1
Lunch at 1 pm works for me. See you then. Note 11 team,0
Congratulations! You have won a free prize. Click now to claim. Offer code 4 spam,1
Please find the project update in the shared folder. Note 2 team,0
"Hi team, please review the meeting notes from yesterday. Note 7 team",0
Please find the project update in the shared folder. Note 1 team,0
"Hi team, please review the meeting notes from yesterday. Note 2 team",0
Win a free phone by entering the contest today. Offer code 9 spam,1
Don't forget the team stand-up at 10 am. Note 10 team,0
Can we reschedule our call to tomorrow afternoon? Note 1 team,0
Act fast to get the bonus money offer. Offer code 1 spam,1
Congratulations! You have won a free prize. Click now to claim. Offer code 9 spam,1
Please find the project update in the shared folder. Note 8 team,0
Urgent: Your account is blocked. Verify your details immediately. Offer code 5 spam,1
Please find the project update in the shared folder. Note 6 team,0
Don't forget the team stand-up at 10 am. Note 4 team,0
Win a free phone by entering the contest today. Offer code 5 spam,1
Act fast to get the bonus money offer. Offer code 2 spam,1
Thanks for your help with the assignment. Note 7 team,0
Special promotion just for you. Free gift inside. Offer code 5 spam,1
Thanks for your help with the assignment. Note 4 team,0
The report is attached. Let me know if you need changes. Note 11 team,0
Urgent: Your account is blocked. Verify your details immediately. Offer code 10 spam,1
Don't forget the team stand-up at 10 am. Note 2 team,0
I will send the invoice later today. Note 5 team,0
Limited time offer: buy now and get 50 percent off. Offer code 9 spam,1
I will send the invoice later today. Note 11 team,0
Thanks for your help with the assignment. Note 3 team,0
Can we reschedule our call to tomorrow afternoon? Note 4 team,0
Urgent: Your account is blocked. Verify your details immediately. Offer code 2 spam,1
Lunch at 1 pm works for me. See you then. Note 2 team,0
Win a free phone by entering the contest today. Offer code 8 spam,1
Limited time offer: buy now and get 50 percent off. Offer code 0 spam,1
Can we reschedule our call to tomorrow afternoon? Note 6 team,0
Claim your lottery prize now by clicking this link. Offer code 3 spam,1
Thanks for your help with the assignment. Note 10 team,0
Special promotion just for you. Free gift inside. Offer code 9 spam,1
You have been selected for a cash reward. Reply to receive it. Offer code 11 spam,1
Urgent: Your account is blocked. Verify your details immediately. Offer code 3 spam,1
Congratulations! You have won a free prize. Click now to claim. Offer code 5 spam,1
You have been selected for a cash reward. Reply to receive it. Offer code 2 spam,1
Act fast to get the bonus money offer. Offer code 0 spam,1
I will send the invoice later today. Note 6 team,0
Lunch at 1 pm works for me. See you then. Note 5 team,0
Limited time offer: buy now and get 50 percent off. Offer code 5 spam,1
Can we reschedule our call to tomorrow afternoon? Note 10 team,0
I will send the invoice later today. Note 10 team,0
Can we reschedule our call to tomorrow afternoon? Note 5 team,0
"Hi team, please review the meeting notes from yesterday. Note 0 team",0
Thanks for your help with the assignment. Note 0 team,0
Lunch at 1 pm works for me. See you then. Note 3 team,0
Win a free phone by entering the contest today. Offer code 10 spam,1
Limited time offer: buy now and get 50 percent off. Offer code 8 spam,1
Urgent: Your account is blocked. Verify your details immediately. Offer code 1 spam,1
"Hi team, please review the meeting notes from yesterday. Note 4 team",0
"Hi team, please review the meeting notes from yesterday. Note 10 team",0
Special promotion just for you. Free gift inside. Offer code 8 spam,1
Act fast to get the bonus money offer. Offer code 10 spam,1
Congratulations! You have won a free prize. Click now to claim. Offer code 11 spam,1
Don't forget the team stand-up at 10 am. Note 3 team,0
Special promotion just for you. Free gift inside. Offer code 3 spam,1
Lunch at 1 pm works for me. See you then. Note 6 team,0
You have been selected for a cash reward. Reply to receive it. Offer code 3 spam,1
Please find the project update in the shared folder. Note 11 team,0
The report is attached. Let me know if you need changes. Note 3 team,0
Congratulations! You have won a free prize. Click now to claim. Offer code 3 spam,1
"Hi team, please review the meeting notes from yesterday. Note 5 team",0
Claim your lottery prize now by clicking this link. Offer code 1 spam,1
Can we reschedule our call to tomorrow afternoon? Note 3 team,0
Congratulations! You have won a free prize. Click now to claim. Offer code 10 spam,1
Can we reschedule our call to tomorrow afternoon? Note 11 team,0
Urgent: Your account is blocked. Verify your details immediately. Offer code 8 spam,1
Claim your lottery prize now by clicking this link. Offer code 2 spam,1
Thanks for your help with the assignment. Note 9 team,0
Claim your lottery prize now by clicking this link. Offer code 11 spam,1
Urgent: Your account is blocked. Verify your details immediately. Offer code 0 spam,1
Win a free phone by entering the contest today. Offer code 3 spam,1
Claim your lottery prize now by clicking this link. Offer code 9 spam,1
You have been selected for a cash reward. Reply to receive it. Offer code 8 spam,1
Act fast to get the bonus money offer. Offer code 9 spam,1
Act fast to get the bonus money offer. Offer code 6 spam,1
Limited time offer: buy now and get 50 percent off. Offer code 6 spam,1
Win a free phone by entering the contest today. Offer code 7 spam,1
Act fast to get the bonus money offer. Offer code 5 spam,1
The report is attached. Let me know if you need changes. Note 4 team,0
Can we reschedule our call to tomorrow afternoon? Note 7 team,0
Don't forget the team stand-up at 10 am. Note 11 team,0
Win a free phone by entering the contest today. Offer code 1 spam,1
Act fast to get the bonus money offer. Offer code 4 spam,1
The report is attached. Let me know if you need changes. Note 6 team,0
I will send the invoice later today. Note 0 team,0
Please find the project update in the shared folder. Note 5 team,0
Limited time offer: buy now and get 50 percent off. Offer code 11 spam,1
Special promotion just for you. Free gift inside. Offer code 6 spam,1
